salinity_group,point_threshold_kpa,bootstrap_median_kpa,bootstrap_ci_low_kpa,bootstrap_ci_high_kpa,successful_bootstraps
Low Salinity,1.7478245379987714,1.7482144247225366,1.7401247731308263,1.7532416328513079,180
Medium Salinity,1.757473083282528,1.7581961039529843,1.747682855182472,1.7656383357624104,180
High Salinity,1.762781373456529,1.7608785600143666,1.748889627144246,1.7686338777442943,180
