Year,pixel_count,nirv_mean,nirv_median,nirv_std,nirv_mean_z,nirv_median_z,exceedance_area_percent,mean_vpd_margin_kpa
2000,14831,0.10812847412440159,0.11299388,0.035327814679524186,-1.98617231340757,-2.1157904135720016,0.0,-0.3397465965679995
2001,14831,0.11849244350158451,0.12634696,0.03857484168263363,-1.415842892003718,-1.3776885398203005,0.0,-0.3365693813566178
2002,14831,0.1347990894016587,0.14176552,0.04198577267469049,-0.5184878745620594,-0.5254156539727638,0.0,-0.3657569646348863
2003,14831,0.12957650241096352,0.13635077,0.04101578488394586,-0.8058869306796955,-0.824720168054685,0.0,-0.4784320733436721
2004,14831,0.12086335068876003,0.1271385,0.03758825474027924,-1.2853718268111658,-1.3339355512102264,0.0,-0.658904570199582
2005,14831,0.12831373703216237,0.13602924,0.039590594360597274,-0.8753769322080711,-0.8424929886674121,46.530914975389386,-0.0151184816465511
2006,14831,0.12991491737306993,0.1381818,0.04071486374865109,-0.787263949222661,-0.7235085619012308,1.7193715865417032,-0.2841090959341919
2007,14831,0.1352997091325197,0.14217965,0.03796269726116801,-0.49093876176036516,-0.5025242964000703,0.0,-0.3287209854291686
2008,14831,0.13160902894052323,0.13871141,0.039707122514507906,-0.694036959167443,-0.6942339575883945,0.0,-0.5155388607646146
2009,14831,0.13413130306439217,0.14227758,0.03706695764232659,-0.5552361687236672,-0.4971111395481305,6.742633672712561,-0.1425437365113613
2010,14831,0.14154425836329312,0.15004808,0.04093787551858963,-0.14730110517333608,-0.06759071354996361,8.462005259254264,-0.1256759537118198
2011,14831,0.14230179914638258,0.1506189,0.042217351324065955,-0.10561362224228688,-0.036038194462611056,9.884700964196616,-0.136287453947812
2012,14831,0.13405522979992987,0.13903353,0.039460550591893975,-0.5594224818365371,-0.6764285242671769,0.0,-0.6029663907376439
2013,14831,0.14302437276885577,0.15019344,0.04122862225406802,-0.06585038278944753,-0.0595558265899098,0.0,-0.3279148833187243
2014,14831,0.15195981357987326,0.16059229,0.04562453105693141,0.425867085901219,0.5152486881634555,0.0,-0.3861681308475491
2015,14831,0.15396222384353045,0.1615275,0.043568838178542825,0.5360597587586875,0.566943147670275,0.0,-0.303042912386218
2016,14831,0.15339367819333155,0.16089389,0.041679231751845895,0.5047726813929927,0.5319198625384702,0.0,-0.3863817882543322
2017,14831,0.1580615365009305,0.16641141,0.041405703898357585,0.7616450080933344,0.8369050682335222,52.26215359719506,0.0049968894680062
2018,14831,0.16644018531938237,0.17539938,0.04512148873729914,1.222722203409461,1.3337220945843014,0.0,-0.4114615256692064
2019,14831,0.15942182094727125,0.1661651,0.04144141468123251,0.8365014856640024,0.8232900915746703,4.200660778099926,-0.2385878499089744
2020,14831,0.1663149195835345,0.17352492,0.04364057917888367,1.215828827710655,1.2301098614311554,3.903984896500573,-0.3519148625042141
2021,14831,0.17255321052416486,0.17810038,0.04384306623394713,1.5591220904784466,1.4830219685462152,11.2197424313937,-0.1510976277257096
2022,14831,0.17738223432496797,0.1820529,0.04594375299484553,1.824863357171197,1.7015005830711833,1.9418784977412176,-0.2680701448924549
2023,14831,0.16976014604682085,0.17396387,0.04282273546163591,1.405419702008031,1.2543731637916076,52.32283730024948,0.00352120176657
