vpd_kpa,mean_boundary_ndsi,bootstrap_median_ndsi,bootstrap_p25_ndsi,bootstrap_p75_ndsi,bootstrap_p025_ndsi,bootstrap_p975_ndsi
1.2624532745614037,,,,,,
1.2793724236842108,,,,,,
1.2962915728070177,,,,,,
1.3132107219298246,,,,,,
1.3301298710526317,,,,,,
1.3470490201754388,,,,,,
1.3639681692982457,,,,,,
1.3808873184210526,,,,,,
1.3978064675438597,,,,,,
1.4147256166666669,,,,,,
1.431644765789474,,,,,,
1.4485639149122806,,,,,,
1.4654830640350878,,,,,,
1.4824022131578949,,,,,,
1.499321362280702,,,,,,
1.516240511403509,,,,,,
1.5331596605263158,,,,,,
1.550078809649123,,,,,,
1.56699795877193,,,,,,
1.5839171078947372,,,,,,
1.6008362570175438,,,,,,
1.617755406140351,,,,,,
1.634674555263158,,,,,,
1.6515937043859652,,,,,,
1.668512853508772,-0.2874578016104547,-0.287109264011492,-0.2898624435973572,-0.2847154491217346,-0.2941942189712318,-0.27979885557300993
1.685432002631579,-0.2860735731938242,-0.2858313391849656,-0.28835108021925165,-0.28358908718714554,-0.2923859894330111,-0.2787194185092271
1.7023511517543861,-0.28328673771041624,-0.2830787840630332,-0.28530292523626455,-0.28111034940260604,-0.2890767929806349,-0.2767998765533962
1.7192703008771932,-0.2801325744123284,-0.27991905853782556,-0.28175961534606925,-0.2782971032102689,-0.2850440220578699,-0.27491152323826124
1.7361894500000001,-0.2780349823105477,-0.27780519022479805,-0.2792789648275033,-0.27650311313112624,-0.2819239537090588,-0.2738764972176856
1.753108599122807,-0.2770440740470039,-0.27680076134035175,-0.2780678448335376,-0.2756773709397809,-0.2802427197423063,-0.27350727365694144
1.7700277482456142,-0.27619689869222563,-0.2759867408023312,-0.2772009123733999,-0.2748919014006966,-0.279096738733098,-0.27294280422052786
1.7869468973684213,-0.2749090439930167,-0.2747795131388242,-0.2760398396573848,-0.27362765644747444,-0.2778139262539494,-0.2715099328728265
1.8038660464912284,-0.2733132537933757,-0.27329370727315466,-0.2746744797900324,-0.27198206369198824,-0.27652337013706724,-0.26924112822196455
1.820785195614035,-0.2720201839535612,-0.27209652246633054,-0.2736196738565468,-0.27058934811916874,-0.27565998015763193,-0.2671629388232724
1.8377043447368422,-0.27201059458882465,-0.27210791252475336,-0.2736563061318038,-0.27061461253367813,-0.2758193847286079,-0.2669567626181831
1.8546234938596493,-0.27373697245476747,-0.2737861181277247,-0.27521090523934527,-0.2725063268774329,-0.2773172459260216,-0.2693374103619222
1.8715426429824564,-0.27647546577957943,-0.2764795127301458,-0.2777457984872951,-0.27538840517605584,-0.2797503711422943,-0.2731092163287567
1.8884617921052633,-0.27960254062821993,-0.2796075232427313,-0.28073399649225067,-0.27862853686731376,-0.28274575464064167,-0.2769346274085048
1.9053809412280702,-0.28320550582195114,-0.2832688590235907,-0.2843159648879614,-0.28229864613629474,-0.2863849233368142,-0.28065465097638004
1.9223000903508773,-0.28726353675407734,-0.28743072390175506,-0.28842567354406556,-0.28638294060032626,-0.2905571913980378,-0.28443629033997914
1.9392192394736845,-0.2919033505194846,-0.29210333445873765,-0.2931267113039674,-0.29102674079901414,-0.29527001530328323,-0.288680938026204
1.9561383885964916,-0.2980864312513117,-0.29815662550203403,-0.29936310160313323,-0.2971044982566278,-0.30163206467147485,-0.2944962341746335
1.9730575377192983,-0.3063758807163613,-0.3062416367642172,-0.3076687721726527,-0.3051374128559902,-0.31037617907740545,-0.30239803238246066
1.9899766868421054,-0.31553697375093887,-0.31528797436250633,-0.31693402172187685,-0.31397014313909555,-0.32033294807317503,-0.31109304732881826
2.0068958359649125,-0.32416130478131494,-0.32395075698287784,-0.3260046839740732,-0.3222181371455038,-0.3302870728000443,-0.31888107240600616
2.0238149850877196,-0.3320829488302313,-0.33204825162100804,-0.334714383277712,-0.32968130357057,-0.3401227564847746,-0.3253390817255773
2.0407341342105263,-0.33834113940949495,-0.3385267441361486,-0.34168562115638995,-0.33553140716139995,-0.34849279605750794,-0.3301544888904325
2.0576532833333334,-0.34123159772693346,-0.3415287525257572,-0.3448882008685488,-0.3381976268230954,-0.35286127497677827,-0.3322455672668175
2.0745724324561405,-0.3410792443640063,-0.3413532694948105,-0.34464486781712783,-0.3379613612071005,-0.35274580198099353,-0.3319956063799591
2.0914915815789477,-0.3396000346351884,-0.3397413149774616,-0.3427323214506456,-0.33653450138082625,-0.3498227110071436,-0.3310732143656631
2.1084107307017548,-0.33779892324934896,-0.33777362513453085,-0.34051456060262203,-0.33499951598327066,-0.34611623632136906,-0.33009538713456604
2.1253298798245615,-0.33644604025679464,-0.33633626094079677,-0.33907621513659986,-0.33387850181773204,-0.34338602263234785,-0.3293254882591043
2.1422490289473686,-0.33641460065676326,-0.33617939549886,-0.3388619284509421,-0.33371898718148546,-0.3422024382706201,-0.3295022393171906
2.1591681780701757,-0.3373802153618061,-0.3369064781829998,-0.3393195496780138,-0.3343349925896962,-0.3419495555831215,-0.3305253968088481
2.176087327192983,,,,,,
2.1930064763157895,,,,,,
2.2099256254385966,,,,,,
