threshold_set,year,exceedance_area_percent,mean_vpd_margin_kpa
old_hardcoded_thresholds,2000,99.54824354392827,0.30150076207268556
old_hardcoded_thresholds,2001,99.61566988065539,0.3046779772840671
old_hardcoded_thresholds,2002,95.15878902299238,0.2754903940057986
old_hardcoded_thresholds,2003,90.95812824489245,0.16281528529701295
old_hardcoded_thresholds,2004,37.596925359045244,-0.017657211558896962
old_hardcoded_thresholds,2005,100.0,0.6261288769941339
old_hardcoded_thresholds,2006,99.64264041534624,0.35713826270649307
old_hardcoded_thresholds,2007,99.9932573663273,0.31252637321151633
old_hardcoded_thresholds,2008,88.47683905333423,0.12570849787607033
old_hardcoded_thresholds,2009,100.0,0.4987036221293237
old_hardcoded_thresholds,2010,100.0,0.5155714049288651
old_hardcoded_thresholds,2011,99.9932573663273,0.5049599046928729
old_hardcoded_thresholds,2012,55.90991841413256,0.03828096790304088
old_hardcoded_thresholds,2013,94.1473939720855,0.3133324753219607
old_hardcoded_thresholds,2014,99.44036140516485,0.2550792277931359
old_hardcoded_thresholds,2015,99.88537522756388,0.33820444625446694
old_hardcoded_thresholds,2016,99.17065605825636,0.2548655703863529
old_hardcoded_thresholds,2017,100.0,0.6462442481086912
old_hardcoded_thresholds,2018,98.28737104713102,0.2297858329714786
old_hardcoded_thresholds,2019,99.6763535837098,0.4026595087317105
old_hardcoded_thresholds,2020,99.51453037556469,0.28933249613647083
old_hardcoded_thresholds,2021,100.0,0.4901497309149753
old_hardcoded_thresholds,2022,99.98651473265457,0.37317721374823
old_hardcoded_thresholds,2023,100.0,0.6447685604072549
unified_zero_response_thresholds,2000,0.0,-0.3397465965679995
unified_zero_response_thresholds,2001,0.0,-0.33656938135661785
unified_zero_response_thresholds,2002,0.0,-0.36575696463488633
unified_zero_response_thresholds,2003,0.0,-0.4784320733436721
unified_zero_response_thresholds,2004,0.0,-0.658904570199582
unified_zero_response_thresholds,2005,46.530914975389386,-0.015118481646551132
unified_zero_response_thresholds,2006,1.7193715865417032,-0.2841090959341919
unified_zero_response_thresholds,2007,0.0,-0.3287209854291686
unified_zero_response_thresholds,2008,0.0,-0.5155388607646146
unified_zero_response_thresholds,2009,6.742633672712561,-0.14254373651136135
unified_zero_response_thresholds,2010,8.462005259254264,-0.12567595371181983
unified_zero_response_thresholds,2011,9.884700964196615,-0.136287453947812
unified_zero_response_thresholds,2012,0.0,-0.6029663907376439
unified_zero_response_thresholds,2013,0.0,-0.3279148833187243
unified_zero_response_thresholds,2014,0.0,-0.38616813084754914
unified_zero_response_thresholds,2015,0.0,-0.30304291238621806
unified_zero_response_thresholds,2016,0.0,-0.3863817882543322
unified_zero_response_thresholds,2017,52.26215359719506,0.004996889468006207
unified_zero_response_thresholds,2018,0.0,-0.4114615256692064
unified_zero_response_thresholds,2019,4.200660778099926,-0.23858784990897444
unified_zero_response_thresholds,2020,3.903984896500573,-0.3519148625042141
unified_zero_response_thresholds,2021,11.219742431393701,-0.15109762772570964
unified_zero_response_thresholds,2022,1.9418784977412178,-0.26807014489245495
unified_zero_response_thresholds,2023,52.32283730024948,0.0035212017665700274
