salinity_group,replicate,threshold_kpa
Medium Salinity,10,1.9596543
Medium Salinity,11,1.9596543
Medium Salinity,12,1.9553778
Medium Salinity,13,1.9596543
Medium Salinity,14,1.9553778
Medium Salinity,15,1.9545623
Medium Salinity,16,1.9596543
Medium Salinity,17,1.9596543
Medium Salinity,18,1.9553778
Medium Salinity,19,1.9553778
Medium Salinity,20,1.9611295
Medium Salinity,21,1.9596543
Medium Salinity,22,1.9596543
Medium Salinity,23,1.9596543
Medium Salinity,24,1.9553778
Medium Salinity,25,1.9596543
Medium Salinity,26,1.9602534
Medium Salinity,27,1.9596543
Medium Salinity,28,1.9596543
Medium Salinity,29,1.9611295
Medium Salinity,30,1.9553778
Medium Salinity,31,1.9596543
Medium Salinity,32,1.9601823
Medium Salinity,33,1.9553778
Medium Salinity,34,1.9553778
Medium Salinity,35,1.9553778
Medium Salinity,36,1.9553778
Medium Salinity,37,1.9601823
Medium Salinity,38,1.9596543
Medium Salinity,39,1.9545623
Medium Salinity,40,1.9553778
Medium Salinity,41,1.9596543
Medium Salinity,42,1.9602534
Medium Salinity,43,1.9545623
Medium Salinity,44,1.9553778
Medium Salinity,45,1.9596543
Medium Salinity,46,1.9553778
Medium Salinity,47,1.9596543
Medium Salinity,48,1.9601823
Medium Salinity,49,1.9553778
Medium Salinity,50,1.9596543
Medium Salinity,51,1.9596543
Medium Salinity,52,1.9611295
Medium Salinity,53,1.9596543
Medium Salinity,54,1.9596543
Medium Salinity,55,1.9596543
Medium Salinity,56,1.9545623
Medium Salinity,57,1.9596543
Medium Salinity,58,1.9596543
Medium Salinity,59,1.9602534
Medium Salinity,60,1.9596543
Medium Salinity,61,1.9611295
Medium Salinity,62,1.9553778
Medium Salinity,63,1.9596543
Medium Salinity,64,1.9553778
Medium Salinity,65,1.9596543
Medium Salinity,66,1.9596543
Medium Salinity,67,1.9553778
Medium Salinity,68,1.9596543
Medium Salinity,69,1.9596543
Medium Salinity,70,1.9611295
Medium Salinity,71,1.9596543
Medium Salinity,72,1.9596543
Medium Salinity,73,1.9553778
Medium Salinity,74,1.9553778
Medium Salinity,75,1.9596543
Medium Salinity,76,1.9596543
Medium Salinity,77,1.9596543
Medium Salinity,78,1.9596543
Medium Salinity,79,1.9596543
Medium Salinity,80,1.9596543
Medium Salinity,81,1.9596543
Medium Salinity,82,1.9596543
Medium Salinity,83,1.9596543
Medium Salinity,84,1.9553778
Medium Salinity,85,1.9602534
Medium Salinity,86,1.9553778
Medium Salinity,87,1.9596543
Medium Salinity,88,1.9602534
Medium Salinity,89,1.9596543
Medium Salinity,90,1.9553778
Medium Salinity,91,1.9596543
Medium Salinity,92,1.9553778
Medium Salinity,93,1.9596543
Medium Salinity,94,1.9553778
Medium Salinity,95,1.9596543
Medium Salinity,96,1.9553778
Medium Salinity,97,1.9553778
Medium Salinity,98,1.9596543
Medium Salinity,99,1.9596543
Medium Salinity,100,1.9553778
Medium Salinity,101,1.9553778
Medium Salinity,102,1.9596543
Medium Salinity,103,1.9596543
Medium Salinity,104,1.9601823
Medium Salinity,105,1.9596543
Medium Salinity,106,1.9553778
Medium Salinity,107,1.9553778
Medium Salinity,108,1.9553778
Medium Salinity,109,1.9596543
Medium Salinity,110,1.9596543
Medium Salinity,111,1.9596543
Medium Salinity,112,1.9596543
Medium Salinity,113,1.9553778
Medium Salinity,114,1.9553778
Medium Salinity,115,1.9596543
Medium Salinity,116,1.9596543
Medium Salinity,117,1.9596543
Medium Salinity,118,1.9596543
Medium Salinity,119,1.9596543
Medium Salinity,120,1.9596543
Medium Salinity,121,1.9601823
Medium Salinity,122,1.9596543
Medium Salinity,123,1.9596543
Medium Salinity,124,1.9602534
Medium Salinity,125,1.9553778
Medium Salinity,126,1.9596543
Medium Salinity,127,1.9601823
Medium Salinity,128,1.9596543
Medium Salinity,129,1.9596543
Medium Salinity,130,1.9596543
Medium Salinity,131,1.9596543
Medium Salinity,132,1.9553778
Medium Salinity,133,1.9596543
Medium Salinity,134,1.9553778
Medium Salinity,135,1.9545623
Medium Salinity,136,1.9596543
Medium Salinity,137,1.9553778
Medium Salinity,138,1.9596543
Medium Salinity,139,1.9596543
Medium Salinity,140,1.9553778
Medium Salinity,141,1.9596543
Medium Salinity,142,1.9601823
Medium Salinity,143,1.9596543
Medium Salinity,144,1.9596543
Medium Salinity,145,1.9596543
Medium Salinity,146,1.9596543
Medium Salinity,147,1.9553778
Medium Salinity,148,1.9596543
Medium Salinity,149,1.9596543
Medium Salinity,150,1.9553778
Medium Salinity,151,1.9596543
Medium Salinity,152,1.9596543
Medium Salinity,153,1.9553778
Medium Salinity,154,1.9596543
Medium Salinity,155,1.9596543
Medium Salinity,156,1.9553778
Medium Salinity,157,1.9553778
Medium Salinity,158,1.9611295
Medium Salinity,159,1.9596543
Medium Salinity,160,1.9596543
Medium Salinity,161,1.9596543
Medium Salinity,162,1.9553778
Medium Salinity,163,1.9596543
Medium Salinity,164,1.9596543
Medium Salinity,165,1.9596543
Medium Salinity,166,1.9596543
Medium Salinity,167,1.9596543
Medium Salinity,168,1.9553778
Medium Salinity,169,1.9602534
Medium Salinity,170,1.9553778
Medium Salinity,171,1.9611295
Medium Salinity,172,1.9553778
Medium Salinity,173,1.9553778
Medium Salinity,174,1.9596543
Medium Salinity,175,1.9596543
Medium Salinity,176,1.9553778
Medium Salinity,177,1.9541578
Medium Salinity,178,1.9596543
Medium Salinity,179,1.9596543
Medium Salinity,180,1.9611295
High Salinity,1,1.6050737
High Salinity,2,1.6058950321580734
High Salinity,3,1.9638762
High Salinity,4,1.9638762
High Salinity,5,1.6050737
High Salinity,6,1.9621736
High Salinity,7,1.9638762
High Salinity,8,1.9638762
High Salinity,9,1.9638762
High Salinity,10,1.9638762
High Salinity,11,1.6361987381924854
High Salinity,12,1.6311922134507022
High Salinity,13,1.9638762
High Salinity,14,1.9638762
High Salinity,15,1.9170934
High Salinity,16,1.5611741754326751
High Salinity,17,1.548506442816511
High Salinity,18,1.6379145716681895
High Salinity,19,1.9122154
High Salinity,20,1.9638762
High Salinity,21,1.9638762
High Salinity,22,1.5442972
High Salinity,23,1.5442972
High Salinity,24,1.9638762
High Salinity,25,1.9122154
High Salinity,26,1.9638762
High Salinity,27,1.9638762
High Salinity,28,1.9638762
High Salinity,29,1.6015557686482038
High Salinity,30,1.6101136207345104
High Salinity,31,1.605691851807592
High Salinity,32,1.9638762
High Salinity,33,1.9638762
High Salinity,34,1.9638762
High Salinity,35,1.9638762
High Salinity,36,1.9638762
High Salinity,37,1.9638762
High Salinity,38,1.6050737
High Salinity,39,1.9638762
High Salinity,40,1.645935080401435
High Salinity,41,1.6183439972973708
High Salinity,42,1.5442972
High Salinity,43,1.9638762
High Salinity,44,1.9638762
High Salinity,45,1.9638762
High Salinity,46,1.5442972
High Salinity,47,1.9638762
High Salinity,48,1.6082504508439464
High Salinity,49,1.9638762
High Salinity,50,1.9638762
High Salinity,51,1.9638762
High Salinity,52,1.6265674078462513
High Salinity,53,1.6050737
High Salinity,54,1.9638762
High Salinity,55,1.9122154
High Salinity,56,1.9638762
High Salinity,57,1.9638762
High Salinity,58,1.9638762
High Salinity,59,1.9638762
High Salinity,60,1.910171
High Salinity,61,1.5442972
High Salinity,62,1.9602534
High Salinity,63,1.9638762
High Salinity,64,1.9122154
High Salinity,65,1.5442972
High Salinity,66,1.9428126
High Salinity,67,1.9638762
High Salinity,68,1.9611295
High Salinity,69,1.9638762
High Salinity,70,1.9638762
High Salinity,71,1.9122154
High Salinity,72,1.9638762
High Salinity,73,1.5446942905697223
High Salinity,74,1.9638762
High Salinity,75,1.9638762
High Salinity,76,1.9638762
High Salinity,77,1.9638762
High Salinity,78,1.6442119388010183
High Salinity,79,1.5442972
High Salinity,80,1.9170934
High Salinity,81,1.9638762
High Salinity,82,1.9638762
High Salinity,83,1.9638762
High Salinity,84,1.9622798
High Salinity,85,1.9638762
High Salinity,86,1.6361378840719205
High Salinity,87,1.9638762
High Salinity,88,1.9638762
High Salinity,89,1.6335919877894238
High Salinity,90,1.9638762
High Salinity,91,1.9638762
High Salinity,92,1.9638762
High Salinity,93,1.9638762
High Salinity,94,1.9638762
High Salinity,95,1.9182189
High Salinity,96,1.6177414128469791
High Salinity,97,1.9638762
High Salinity,98,1.5442972
High Salinity,99,1.9638762
High Salinity,100,1.9638762
High Salinity,101,1.9638762
High Salinity,102,1.9638762
High Salinity,103,1.9638762
High Salinity,104,1.9638762
High Salinity,105,1.9638762
High Salinity,106,1.6224940265123318
High Salinity,107,1.5442972
High Salinity,108,1.9638762
High Salinity,109,1.9638762
High Salinity,110,1.9638762
High Salinity,111,1.9638762
High Salinity,112,1.9638762
High Salinity,113,1.5492668639234393
High Salinity,114,1.5442972
High Salinity,115,1.9638762
High Salinity,116,1.9638762
High Salinity,117,1.9638762
High Salinity,118,1.9638762
High Salinity,119,1.9638762
High Salinity,120,1.9638762
High Salinity,121,1.6050737
High Salinity,122,1.9712435
High Salinity,123,1.614946827842378
High Salinity,124,1.5442972
High Salinity,125,1.9638762
High Salinity,126,1.9122154
High Salinity,127,1.9638762
High Salinity,128,1.9638762
High Salinity,129,1.6242578779561996
High Salinity,130,1.9638762
High Salinity,131,1.617259
High Salinity,132,1.9638762
High Salinity,133,1.9621736
High Salinity,134,1.9122154
High Salinity,135,1.9638762
High Salinity,136,1.9638762
High Salinity,137,1.9638762
High Salinity,138,1.9638762
High Salinity,139,1.6218295076435312
High Salinity,140,1.6050737
High Salinity,141,1.9638762
High Salinity,142,1.617259
High Salinity,143,1.9638762
High Salinity,144,1.9638762
High Salinity,145,1.9170934
High Salinity,146,1.6178633497925634
High Salinity,147,1.9638762
High Salinity,148,1.6050737
High Salinity,149,1.9638762
High Salinity,150,1.9638762
High Salinity,151,1.9638762
High Salinity,152,1.9638762
High Salinity,153,1.9638762
High Salinity,154,1.9638762
High Salinity,155,1.6050737
High Salinity,156,1.6090954998479738
High Salinity,157,1.9638762
High Salinity,158,1.9638762
